,AN1,AN2,AND,ANd,Rc1,Rc2,RcD,Rcd,Vmc,Rm1,Rm2,RmD,Rmd,Vmm,AW1,AW2,AWD,AWd,D1,D2,DD,Dd,Eea1,Eea2,EeaD,Eead,XM1,XM2,XMD,XMd,XP1,XP2,XPD,XPd,Gp1,Gp2,GpD,Gpd,Hf1,Hf2,HfD,Hfd,I11,I12,I1D,I1d,I21,I22,I2D,I2d,LP1,LP2,LPD,LPd,Tm1,Tm2,TmD,Tmd,P1,P2,PD,Pd,Cp1,Cp2,CpD,Cpd,K1,K2,KD,Kd,VEC1,VEC2,VECD,VECd,Tb1,Tb2,TbD,Tbd,sVEC1,pVEC1,dVEC1,fs,fp,fd,W1,W2,WD,Wd,Hmix,Smix/R,Smix/kb,PHSmis,PHSmix,PHSS,Phase
5238,21.58,12.3384,10.2958,0.4771,0.1126,0.1091,0.0182,0.162,0.0064,0.1126,0.1086,0.0193,0.1713,0.0065,45.3101,26.3268,21.4617,0.4737,7.0604,4.9726,2.95,0.4178,0.9311,0.6383,0.3862,0.4148,1.8208,1.8166,0.1009,0.0554,1.9566,1.9521,0.1021,0.0522,10.86,10.7034,1.3858,0.1276,27.9704,21.4759,19.1414,0.6843,7.8835,7.8524,0.5616,0.0712,20.1094,19.6909,3.114,0.1549,31.3047,14.2581,33.3674,1.0659,1931.51,1877.7928,383.0037,0.1983,3.44,3.125,0.898,0.261,21.8234,18.7206,6.8188,0.3125,74.904,56.4241,28.8933,0.3857,8.06,6.11,3.1139,0.3863,3472.07,3418.434,458.6945,0.1321,2.0,0.3,5.76,0.2481,0.0372,0.7146,5.043,5.0367,0.1749,0.0347,-20.4256,0.665,0.611,-13.5831,-12.4794,-8.2988,1
5239,21.14,11.9522,10.4805,0.4958,0.1117,0.1079,0.0189,0.169,0.0063,0.1116,0.1075,0.0198,0.1776,0.0063,44.3764,25.4398,21.8707,0.4928,6.9264,4.809,3.0148,0.4353,0.9332,0.6389,0.3877,0.4155,1.8346,1.8267,0.1396,0.0761,1.9694,1.9622,0.1313,0.0667,10.94,10.7692,1.4479,0.1323,29.961,21.9347,22.7761,0.7602,7.9559,7.9046,0.7328,0.0921,20.2337,19.8003,3.1577,0.1561,32.0049,14.552,33.2968,1.0404,1973.41,1900.4241,464.4084,0.2353,3.4,3.0769,0.9165,0.2696,21.4723,18.1824,7.0394,0.3278,75.67,56.6333,29.7955,0.3938,7.94,6.0,3.1522,0.397,3494.35,3437.5431,471.1513,0.1348,2.0,0.34,5.6,0.2519,0.0428,0.7053,5.04,5.0337,0.1744,0.0346,-22.256,0.7287,0.6566,-16.2172,-14.6136,-10.6485,1
5240,22.02,12.7505,10.0886,0.4582,0.1136,0.1103,0.0175,0.1544,0.0066,0.1135,0.1098,0.0187,0.1646,0.0066,46.2437,27.2779,21.0033,0.4542,7.1944,5.1478,2.8774,0.4,0.929,0.6377,0.3847,0.4141,1.807,1.8067,0.0219,0.0121,1.9438,1.9422,0.057,0.0293,10.78,10.6383,1.3159,0.1221,25.9798,21.036,14.3565,0.5526,7.8111,7.8008,0.2886,0.037,19.9851,19.5827,3.0646,0.1533,30.6045,13.9759,33.4231,1.0921,1889.61,1855.6942,272.3919,0.1442,3.48,3.1746,0.8773,0.2521,22.1744,19.2916,6.5721,0.2964,74.138,56.2164,27.941,0.3769,8.18,6.2241,3.0704,0.3754,3449.79,3399.5361,444.7751,0.1289,2.0,0.26,5.92,0.2445,0.0318,0.7237,5.046,5.0397,0.1755,0.0348,-18.4704,0.5731,0.5639,-10.5846,-10.4146,-5.9682,1
5241,16.64,9.2087,10.7884,0.6483,0.1042,0.0991,0.0228,0.2188,0.0054,0.1035,0.0984,0.0226,0.2181,0.0053,36.0742,19.4638,23.7959,0.6596,5.7024,3.7139,3.2869,0.5764,0.675,0.5144,0.3357,0.4973,1.918,1.8809,0.296,0.1543,2.0588,2.0314,0.2549,0.1238,11.12,10.6835,2.2328,0.2008,45.8748,25.3771,38.4085,0.8372,8.6736,8.5116,1.3054,0.1505,20.8019,20.0894,3.8824,0.1866,44.8775,31.858,27.7961,0.6194,2341.83,2147.7773,781.0335,0.3335,3.04,2.7027,0.9992,0.3287,17.709,14.3479,7.4429,0.4203,85.36,58.4086,38.0262,0.4455,6.32,4.9724,2.8103,0.4447,3700.15,3627.5694,521.5362,0.141,2.0,0.68,3.64,0.3165,0.1076,0.5759,4.774,4.7713,0.115,0.0241,-33.6896,1.0184,0.9901,-34.3081,-33.3555,-33.9679,1
5242,19.88,11.6279,10.2813,0.5172,0.1112,0.1081,0.0175,0.1571,0.0062,0.1116,0.1079,0.0187,0.1673,0.0063,41.613,24.7541,21.5099,0.5169,6.2747,4.1911,3.2153,0.5124,0.9394,0.6231,0.4178,0.4447,1.8216,1.8202,0.0522,0.0287,1.9452,1.9434,0.0592,0.0304,11.32,11.0976,1.6424,0.1451,30.604,23.6428,16.0861,0.5256,7.8857,7.8742,0.3039,0.0385,19.9061,19.4189,3.3238,0.167,35.7398,16.1956,33.3475,0.9331,1897.11,1860.4305,282.1945,0.1487,3.32,3.0303,0.8818,0.2656,21.121,18.4048,6.565,0.3108,79.74,56.1912,37.5503,0.4709,7.32,5.4545,3.2951,0.4501,3512.31,3461.4608,443.1512,0.1262,2.0,0.52,4.8,0.2732,0.071,0.6557,5.002,4.9951,0.1836,0.0367,-29.5296,0.9174,0.5826,-27.0892,-17.2039,-15.7821,1
5243,20.44,11.8243,10.327,0.5052,0.1118,0.1085,0.0177,0.158,0.0063,0.1119,0.1082,0.0188,0.1682,0.0063,42.8374,25.2178,21.5761,0.5037,6.5375,4.4264,3.15,0.4818,0.9301,0.6208,0.4101,0.441,1.8164,1.8153,0.0452,0.0249,1.9456,1.9439,0.0589,0.0303,11.16,10.9586,1.5667,0.1404,29.2808,22.8339,15.748,0.5378,7.8652,7.8538,0.3025,0.0385,19.979,19.5119,3.2643,0.1634,34.536,15.5104,33.6815,0.9753,1898.75,1862.3794,281.0865,0.148,3.36,3.0612,0.889,0.2646,21.3723,18.5712,6.6291,0.3102,77.448,55.6572,34.9743,0.4516,7.56,5.6391,3.2629,0.4316,3498.23,3446.5602,447.6754,0.128,2.0,0.44,5.12,0.2646,0.0582,0.6772,5.014,5.0072,0.183,0.0365,-26.6496,0.8441,0.5889,-22.4953,-15.6933,-13.2469,1
5244,21.14,12.0794,10.3412,0.4892,0.1124,0.1091,0.0179,0.1588,0.0064,0.1124,0.1085,0.019,0.1692,0.0064,44.3678,25.8224,21.5609,0.486,6.8661,4.7604,3.0344,0.4419,0.9184,0.6181,0.4001,0.4356,1.8099,1.8093,0.0332,0.0184,1.9461,1.9444,0.0586,0.0301,10.96,10.7897,1.4417,0.1315,27.6268,21.8974,15.1532,0.5485,7.8396,7.8286,0.2988,0.0381,20.0702,19.6295,3.1861,0.1587,33.0313,14.7313,34.0345,1.0304,1900.8,1864.8213,279.6818,0.1471,3.41,3.1008,0.8955,0.2626,21.6863,18.7836,6.6951,0.3087,74.583,55.0038,31.2233,0.4186,7.86,5.8881,3.1969,0.4067,3480.63,3428.1138,452.6517,0.13,2.0,0.34,5.52,0.2545,0.0433,0.7023,5.029,5.0223,0.1813,0.036,-22.3296,0.7177,0.5959,-16.0251,-13.3073,-9.5501,1
5245,28.64,26.0618,5.8336,0.2037,0.133,0.1305,0.0192,0.1447,0.0105,0.1299,0.1283,0.0146,0.1123,0.0095,63.1373,57.0837,13.9812,0.2214,8.3552,7.9594,1.213,0.1452,0.6178,0.5955,0.0966,0.1564,1.7252,1.7183,0.1026,0.0595,1.7952,1.7659,0.2043,0.1138,8.28,7.5387,1.9498,0.2355,16.9838,16.525,4.7523,0.2798,7.6898,7.6584,0.4645,0.0604,16.615,16.4045,1.8824,0.1133,27.1726,24.2887,12.5592,0.4622,1837.37,1826.6243,150.6513,0.082,4.12,4.0486,0.475,0.1153,24.6235,24.2929,1.9442,0.079,86.172,62.5422,29.5197,0.3426,8.08,7.2581,1.9681,0.2436,3457.27,3387.8545,552.5406,0.1598,2.0,0.02,6.06,0.2475,0.0025,0.75,4.589,4.5729,0.2572,0.056,-24.0,0.5342,0.2624,-12.8204,-6.2975,-3.364,1
5246,25.34,23.766,2.9773,0.1175,0.1319,0.1313,0.0072,0.0547,0.0097,0.1234,0.1229,0.0059,0.0479,0.0079,54.4824,51.1306,6.3627,0.1168,7.673,7.4291,0.7969,0.1039,0.2183,0.1704,0.1699,0.7785,1.6674,1.6663,0.0416,0.025,1.8138,1.8115,0.0639,0.0352,7.86,7.7496,0.98,0.1247,14.9,14.323,5.1422,0.3451,7.7745,7.754,0.3765,0.0484,16.403,16.3399,1.254,0.0765,13.0629,11.7581,10.5612,0.8085,1866.19,1857.3819,138.1984,0.0741,3.96,3.9216,0.28,0.0707,24.6097,24.2683,2.0136,0.0818,80.756,78.4645,8.8411,0.1095,7.66,7.4534,0.9297,0.1214,3132.67,3125.8098,164.4899,0.0525,1.88,0.02,5.76,0.2454,0.0026,0.752,4.622,4.6204,0.0832,0.018,-2.4992,0.4624,0.0478,-1.1556,-0.1195,-0.0553,1
5247,25.3,23.7298,2.9816,0.1179,0.132,0.1314,0.0073,0.0551,0.0097,0.1234,0.1229,0.0059,0.048,0.0079,54.4055,51.0614,6.369,0.1171,7.6586,7.415,0.7997,0.1044,0.2288,0.1733,0.1813,0.7926,1.665,1.6638,0.0442,0.0265,1.8104,1.8078,0.0674,0.0372,7.82,7.6999,1.0137,0.1296,14.962,14.3777,5.1473,0.344,7.7517,7.7285,0.4015,0.0518,16.409,16.3458,1.2537,0.0764,13.0633,11.7585,10.5611,0.8085,1873.57,1863.8523,144.759,0.0773,3.96,3.9216,0.28,0.0707,24.5747,24.2332,2.0199,0.0822,81.026,78.6863,9.0243,0.1114,7.62,7.4074,0.9569,0.1256,3128.87,3121.7913,166.593,0.0532,1.86,0.02,5.74,0.2441,0.0026,0.7533,4.617,4.6152,0.0887,0.0192,-2.5648,0.5,0.0479,-1.2823,-0.1228,-0.0614,1
